ts_iso,elapsed_s,class,kind,run_status,latency_s,ok,ans_chars,err
2026-05-29T11:16:07+00:00,670.4,normal,plan_trip,completed,2.34,1,266,
2026-05-29T11:16:11+00:00,674.8,normal,policy_question,completed,30.23,1,171,
2026-05-29T11:16:41+00:00,705.0,normal,receipt_expense,completed,19.52,1,191,
2026-05-29T11:17:01+00:00,724.5,normal,inline_summary,completed,2.54,1,127,
2026-05-29T11:15:48+00:00,652.0,normal,receipt_expense,completed,90.89,1,137,
2026-05-29T11:17:22+00:00,745.4,normal,receipt_expense,completed,2.50,1,191,
2026-05-29T11:15:10+00:00,613.2,normal,policy_question,completed,139.06,1,457,
2026-05-29T11:17:43+00:00,766.9,normal,inline_summary,completed,8.40,1,88,
2026-05-29T11:15:51+00:00,655.1,edge,ambiguous,completed,122.00,1,277,
2026-05-29T11:18:24+00:00,807.4,normal,policy_question,completed,4.27,1,173,
2026-05-29T11:18:56+00:00,839.7,adversarial,jailbreak,content_filtered,0.82,1,0,BadRequestError: Error code: 400 - {'error': {'message': 'The response was filtered due to the prompt triggering Azure OpenAI’s content management policy. Please modify your prompt and retry. To learn
2026-05-29T11:19:07+00:00,851.1,normal,receipt_expense,completed,2.53,1,277,
2026-05-29T11:19:09+00:00,852.9,edge,ambiguous,completed,3.07,1,124,
2026-05-29T11:17:55+00:00,778.4,edge,policy_question_long,completed,80.22,1,1596,
2026-05-29T11:17:30+00:00,754.0,edge,non_english,completed,125.17,1,1307,
2026-05-29T11:19:39+00:00,882.7,normal,policy_question,completed,2.16,1,207,
2026-05-29T11:19:46+00:00,889.2,normal,plan_trip,completed,4.35,1,878,
2026-05-29T11:19:55+00:00,899.1,normal,plan_trip,completed,3.91,1,962,
2026-05-29T11:19:59+00:00,902.7,normal,receipt_expense,completed,13.80,1,298,
2026-05-29T11:19:57+00:00,900.6,normal,plan_trip,completed,25.60,1,959,
2026-05-29T11:20:20+00:00,923.6,edge,non_english,completed,4.55,1,1058,
2026-05-29T11:20:34+00:00,938.0,normal,policy_question,completed,2.03,1,296,
2026-05-29T11:20:08+00:00,912.0,normal,receipt_expense,completed,28.04,1,302,
